ModeName,count,mean_abs,std_abs,rms
primary spherical aberration,64,5.13996974733036e-08,3.75032795404458e-08,6.34543014854505e-08
secondary spherical,31,3.03285580863427e-08,1.32010264669955e-08,3.29919234969887e-08
tertiary spherical,37,1.98377202555977e-07,1.63795612599545e-07,2.55846455944829e-07
