ModeName,count,mean_abs,std_abs,rms
primary x-coma,20,4.85899236269312e-08,3.3849032213496e-08,5.87320169138757e-08
secondary y-coma,35,9.64225706088031e-08,5.59186948985374e-08,1.11062471381732e-07
tertiary x-coma,42,7.08629479313436e-08,5.34156821732479e-08,8.83564277370792e-08
primary y-coma,39,6.53428582067888e-08,4.43110801677239e-08,7.86308814196848e-08
secondary x-coma,27,3.83589060986526e-08,2.80098498985323e-08,4.7190040245522e-08
tertiary y-coma,35,8.11714101110193e-08,4.95364688309253e-08,9.47235410449741e-08
