ModeName,count,mean_abs,std_abs,rms
0 degree secondary astigmatism,26,8.17473104054532e-08,3.50327124309758e-08,8.86719245369932e-08
45 degree secondary astigmatism,36,4.00965721943399e-08,2.05217072713867e-08,4.49129961670122e-08
45 degree tertiary astigmatism,45,9.84816201811457e-08,6.65025678571186e-08,1.18418500384361e-07
0 degree primary astigmatism,42,5.78546063880984e-08,4.06873973810778e-08,7.04500104270145e-08
0 degree tertiary astigmatism,49,5.77292306419964e-08,3.95801603692496e-08,6.97659082887542e-08
